iter	Passed	Remaining
0	173	34495
1	174	17241
2	174	11477
3	175	8592
4	175	6861
5	176	5705
6	177	4880
7	177	4261
8	178	3779
9	178	3394
10	179	3079
11	179	2816
12	180	2594
13	180	2403
14	181	2238
15	182	2093
16	182	1965
17	183	1851
18	183	1750
19	184	1658
20	184	1575
21	185	1499
22	185	1430
23	186	1366
24	187	1309
25	187	1255
26	188	1205
27	188	1159
28	189	1115
29	189	1075
30	190	1036
31	190	1001
32	191	967
33	191	936
34	192	906
35	192	878
36	193	851
37	193	826
38	194	802
39	194	779
40	195	757
41	195	737
42	196	717
43	197	698
44	197	680
45	198	662
46	198	646
47	199	630
48	199	615
49	200	600
50	200	586
51	201	573
52	202	560
53	202	548
54	203	536
55	203	524
56	204	513
57	205	501
58	205	491
59	206	480
60	206	470
61	207	461
62	207	451
63	208	442
64	208	433
65	209	424
66	209	416
67	210	408
68	210	400
69	211	392
70	211	384
71	212	377
72	212	370
73	213	363
74	213	356
75	214	350
76	215	343
77	215	337
78	216	331
79	216	324
80	217	319
81	217	313
82	218	307
83	218	302
84	219	296
85	219	291
86	220	286
87	220	281
88	221	276
89	221	271
90	222	266
91	223	261
92	223	257
93	224	252
94	224	248
95	225	243
96	225	239
97	226	235
98	226	231
99	227	227
100	227	223
101	228	219
102	228	215
103	229	211
104	229	207
105	230	204
106	231	201
107	232	197
108	232	194
109	233	191
110	234	187
111	234	184
112	235	181
113	235	177
114	236	174
115	236	171
116	237	168
117	237	165
118	238	162
119	238	159
120	239	156
121	239	153
122	240	150
123	240	147
124	241	144
125	242	142
126	242	139
127	243	136
128	243	134
129	244	131
130	244	128
131	245	126
132	245	123
133	246	121
134	246	118
135	247	116
136	247	113
137	248	111
138	248	109
139	249	106
140	249	104
141	250	102
142	251	100
143	251	97
144	252	95
145	252	93
146	253	91
147	253	89
148	254	87
149	254	84
150	255	82
151	255	80
152	256	78
153	256	76
154	257	74
155	257	72
156	258	70
157	258	68
158	259	66
159	260	65
160	260	63
161	261	61
162	261	59
163	262	57
164	262	55
165	263	54
166	264	52
167	264	50
168	265	48
169	265	46
170	266	45
171	266	43
172	267	41
173	267	40
174	268	38
175	268	36
176	269	35
177	269	33
178	270	31
179	271	30
180	271	28
181	272	26
182	272	25
183	273	23
184	273	22
185	274	20
186	274	19
187	275	17
188	275	16
189	276	14
190	276	13
191	277	11
192	278	10
193	278	8
194	279	7
195	279	5
196	280	4
197	280	2
198	281	1
199	281	0
